country,ST339Q04JA,ST339Q06JA,ST341Q01JA,ST341Q02JA,ST341Q03JA,ST341Q04JA,ST341Q05JA
Canada,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree
Canada,Strongly disagree,Strongly agree,Disagree,Agree,Disagree,Agree,Strongly agree
Canada,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree
Canada,Strongly agree,Strongly agree,NA,NA,NA,NA,NA
Canada,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree
Canada,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree
Canada,Strongly disagree,Agree,NA,NA,NA,NA,NA
Canada,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree
Canada,Strongly disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree
Canada,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree
Canada,Strongly disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly agree
Canada,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
Canada,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree
Canada,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree
Canada,Disagree,Agree,Agree,Agree,Agree,Agree,Agree
Canada,Disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree
Canada,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree
Canada,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree
Canada,Agree,NA,NA,NA,NA,NA,NA
Canada,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree
Canada,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
Canada,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree
Canada,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree
Canada,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree
Canada,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
Canada,Disagree,Strongly agree,Agree,Agree,Disagree,Agree,Agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree
Canada,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree
Canada,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree
Canada,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree
Canada,Strongly disagree,Strongly agree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree
Canada,Disagree,Agree,Agree,Agree,Agree,Agree,Agree
Canada,Agree,Disagree,Agree,Agree,Agree,Agree,Agree
Canada,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree
Canada,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree
Canada,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree
Canada,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree
Canada,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Canada,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree
Canada,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree
Canada,Disagree,Strongly agree,Agree,Agree,Disagree,Disagree,Disagree
Canada,Strongly disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly agree
Canada,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Canada,Agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree
Canada,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
Canada,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Canada,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Disagree,Agree
Canada,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Agree
Canada,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree
Canada,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree
Canada,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree
Canada,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
Canada,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly disagree
Canada,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Canada,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Disagree
Canada,Strongly disagree,Agree,Agree,Agree,Agree,Strongly agree,Agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree
Canada,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Canada,Strongly disagree,Agree,Disagree,Disagree,Strongly disagree,Agree,Strongly disagree
Canada,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree
Canada,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Disagree
Canada,Disagree,Strongly agree,Agree,Agree,Agree,Disagree,Strongly disagree
Canada,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree
Canada,Agree,Agree,Agree,Agree,Disagree,Strongly disagree,Strongly disagree
Canada,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree
Canada,Strongly disagree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Agree,Agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Disagree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Agree
Canada,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree
Canada,Strongly disagree,Strongly agree,Agree,Disagree,Agree,Disagree,Agree
Canada,Agree,Disagree,Agree,Agree,Strongly agree,Agree,Agree
Canada,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
Canada,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
Canada,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
Canada,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree
Canada,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree
Canada,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree
Canada,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree
Canada,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
Canada,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree
Canada,Disagree,Agree,Disagree,Agree,Strongly disagree,Agree,Agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Strongly disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree
Canada,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree
Canada,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree
Canada,Strongly disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Strongly agree
Canada,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree
Canada,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree
Canada,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree
Canada,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Agree,NA,Agree,Agree,Disagree,Agree,Disagree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Disagree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree
Canada,Disagree,Strongly agree,Agree,Agree,Agree,Disagree,Agree
Canada,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Canada,Strongly disagree,Strongly agree,Agree,Agree,Disagree,Disagree,Disagree
Canada,Strongly disagree,Agree,Agree,Agree,Disagree,Agree,Strongly agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Strongly disagree,Strongly agree,Disagree,Disagree,Strongly disagree,Strongly agree,Agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Canada,Disagree,Agree,Agree,Agree,Disagree,Strongly agree,Agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree
Canada,Strongly disagree,Strongly agree,Disagree,Agree,Strongly disagree,Strongly agree,Agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
Canada,Strongly disagree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Agree
Canada,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree
Canada,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Canada,Strongly disagree,Strongly agree,Disagree,Disagree,Strongly disagree,Agree,Strongly disagree
Canada,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Canada,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
Canada,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Strongly agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Agree,Disagree,Agree,Agree,Agree,Agree,Agree
Canada,Disagree,Agree,Agree,Agree,Disagree,Agree,Strongly agree
Canada,Strongly disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree
Canada,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree
Canada,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Agree
Canada,Disagree,Agree,Agree,Agree,Agree,Agree,Agree
Canada,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree
Canada,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Canada,Disagree,Strongly agree,Agree,Agree,Disagree,Agree,Agree
Canada,Strongly disagree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree
Canada,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree
Canada,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Disagree
Canada,Strongly disagree,Strongly agree,Disagree,Disagree,Strongly disagree,Strongly agree,Disagree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree
Canada,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree
Canada,Disagree,Agree,Disagree,Agree,NA,Disagree,Agree
Canada,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Disagree,Agree,Agree,Agree,Agree,Agree,Agree
Canada,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree
Canada,Disagree,Strongly agree,Agree,Agree,Agree,Disagree,Agree
Canada,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Strongly disagree,Agree,Strongly agree,Agree,Disagree,Agree,Strongly agree
Canada,Strongly disagree,Agree,Agree,Agree,Agree,Strongly agree,Disagree
Canada,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
Canada,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree
Canada,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree
Canada,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Canada,Strongly disagree,Agree,Agree,Agree,Agree,Disagree,Strongly agree
Canada,Strongly disagree,Strongly agree,NA,NA,NA,NA,NA
Canada,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree
Canada,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree
Canada,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree
Canada,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
Canada,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree
Canada,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Agree,Disagree
Canada,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree
Canada,Disagree,Strongly agree,Disagree,Disagree,Disagree,Agree,Agree
Canada,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Strongly disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Canada,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree
Canada,Strongly agree,Strongly agree,Agree,Agree,Disagree,Strongly disagree,Strongly agree
Canada,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
Canada,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree
Canada,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree
Canada,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Strongly disagree,Strongly agree,Agree,Agree,Strongly disagree,Strongly disagree,Agree
Canada,Disagree,Agree,Agree,Agree,Strongly disagree,Disagree,Agree
Canada,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Canada,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree
Canada,Disagree,Strongly agree,Agree,Agree,Disagree,Strongly agree,Agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Canada,Strongly disagree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Disagree
Canada,Agree,Disagree,NA,NA,NA,NA,NA
Canada,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Strongly disagree,Disagree,Agree,Agree,Agree,Agree,Agree
Canada,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree
Canada,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree
Canada,Disagree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree
Canada,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Agree,Agree
Canada,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree
Canada,Agree,Agree,Agree,Agree,Agree,NA,Agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree
Canada,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree
Canada,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Canada,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree
Canada,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Canada,Disagree,Agree,NA,NA,NA,NA,NA
Canada,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree
Canada,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Strongly disagree,Strongly agree,Agree,Disagree,Disagree,Agree,Disagree
Canada,Strongly disagree,Strongly agree,Disagree,Disagree,Disagree,Strongly agree,Disagree
Canada,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree
Canada,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree
Canada,NA,NA,NA,NA,Strongly disagree,NA,NA
Canada,Strongly disagree,Strongly agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree
Canada,Strongly disagree,Strongly agree,Agree,Agree,Disagree,Disagree,Disagree
Canada,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree
Canada,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree
Canada,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree
Canada,Disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Agree
Canada,Strongly disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree
Canada,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Canada,NA,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree
Canada,Agree,Strongly disagree,Disagree,Agree,Agree,Disagree,Agree
Canada,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Canada,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree
Canada,Disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree
Canada,Disagree,Agree,Agree,Agree,Disagree,Strongly agree,Strongly agree
Canada,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree
Canada,Disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree
Canada,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree
Canada,Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly agree
Canada,Disagree,Disagree,NA,NA,NA,NA,NA
Canada,NA,NA,NA,NA,NA,NA,NA
Canada,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree
Canada,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
